id,instance,goal,result,duration,correct_result,verdict,steps_obtained,constraints_no,constraints_max,constraints_min,is_trivial
225,exp_acyclic_depvary_step2_batch_yyy03.pl,p3,no,0.17,no,corr,0.0,None,None,None,yes
226,exp_acyclic_depvary_step2_batch_yyy03.pl,u3,no,0.29,no,corr,0.0,None,None,None,yes
227,exp_acyclic_depvary_step2_batch_yyy03.pl,y2,no,0.36,no,corr,0.0,None,None,None,yes
228,exp_acyclic_depvary_step2_batch_yyy03.pl,d1,yes,0.28,yes,corr,0.0,None,None,None,no
229,exp_acyclic_depvary_step2_batch_yyy03.pl,y3,no,0.2,no,corr,0.0,None,None,None,yes
230,exp_acyclic_depvary_step2_batch_yyy03.pl,r5,no,0.19,no,corr,0.0,None,None,None,yes
231,exp_acyclic_depvary_step2_batch_yyy04.pl,e1,no,0.22,no,corr,4.0,None,None,None,no
232,exp_acyclic_depvary_step2_batch_yyy04.pl,f1,yes,0.25,yes,corr,1.0,None,None,None,no
233,exp_acyclic_depvary_step2_batch_yyy04.pl,v5,no,0.23,no,corr,0.0,None,None,None,yes
234,exp_acyclic_depvary_step2_batch_yyy04.pl,q5,no,0.45,no,corr,0.0,None,None,None,yes
235,exp_acyclic_depvary_step2_batch_yyy04.pl,v1,yes,0.25,yes,corr,1.0,None,None,None,no
236,exp_acyclic_depvary_step2_batch_yyy04.pl,c6,no,0.34,no,corr,0.0,None,None,None,yes
237,exp_acyclic_depvary_step2_batch_yyy04.pl,a6,no,0.72,no,corr,0.0,None,None,None,yes
238,exp_acyclic_depvary_step2_batch_yyy04.pl,y4,no,0.2,no,corr,0.0,None,None,None,yes
239,exp_acyclic_depvary_step2_batch_yyy04.pl,e2,no,0.23,no,corr,0.0,None,None,None,yes
240,exp_acyclic_depvary_step2_batch_yyy04.pl,u2,no,0.25,no,corr,0.0,None,None,None,yes
241,exp_acyclic_depvary_step2_batch_yyy05.pl,b2,no,0.23,no,corr,1.0,None,None,None,no
242,exp_acyclic_depvary_step2_batch_yyy05.pl,y4,no,0.33,no,corr,0.0,None,None,None,yes
243,exp_acyclic_depvary_step2_batch_yyy05.pl,e1,yes,0.29,yes,corr,1.0,None,None,None,no
244,exp_acyclic_depvary_step2_batch_yyy05.pl,f1,yes,0.35,yes,corr,1.0,None,None,None,no
245,exp_acyclic_depvary_step2_batch_yyy05.pl,w5,no,0.16,no,corr,0.0,None,None,None,yes
246,exp_acyclic_depvary_step2_batch_yyy05.pl,q4,no,0.37,no,corr,0.0,None,None,None,yes
247,exp_acyclic_depvary_step2_batch_yyy05.pl,y3,no,0.48,no,corr,0.0,None,None,None,yes
248,exp_acyclic_depvary_step2_batch_yyy05.pl,f4,no,0.29,no,corr,0.0,None,None,None,yes
